,season,Var.4,Visitor/Neutral,PTS,Home/Neutral,PTS.1,playoffs
46482,2007,Box Score,Phoenix Suns,106,Los Angeles Lakers,114,0
46483,2007,Box Score,Chicago Bulls,108,Miami Heat,66,0
46484,2007,Box Score,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,0
46485,2007,Box Score,Indiana Pacers,106,Charlotte Bobcats,99,0
46486,2007,Box Score,Washington Wizards,94,Cleveland Cavaliers,97,0
46487,2007,Box Score,Milwaukee Bucks,105,Detroit Pistons,97,0
46488,2007,Box Score,Los Angeles Lakers,110,Golden State Warriors,98,0
46489,2007,Box Score,New York Knicks,118,Memphis Grizzlies,117,0
46490,2007,Box Score,Sacramento Kings,83,Minnesota Timberwolves,92,0
46491,2007,Box Score,Toronto Raptors,92,New Jersey Nets,102,0
46492,2007,Box Score,Chicago Bulls,94,Orlando Magic,109,0
46493,2007,Box Score,Atlanta Hawks,75,Philadelphia 76ers,88,0
46494,2007,Box Score,Los Angeles Clippers,104,Phoenix Suns,112,0
46495,2007,Box Score,Portland Trail Blazers,110,Seattle SuperSonics,106,0
46496,2007,Box Score,Houston Rockets,97,Utah Jazz,107,0
46497,2007,Box Score,San Antonio Spurs,97,Dallas Mavericks,91,0
46498,2007,Box Score,Denver Nuggets,95,Los Angeles Clippers,96,0
46499,2007,Box Score,New York Knicks,92,Atlanta Hawks,102,0
46500,2007,Box Score,Detroit Pistons,101,Boston Celtics,88,0
46501,2007,Box Score,Sacramento Kings,89,Chicago Bulls,88,0
46502,2007,Box Score,Minnesota Timberwolves,112,Denver Nuggets,109,0
46503,2007,Box Score,Portland Trail Blazers,89,Golden State Warriors,102,0
46504,2007,Box Score,New Orleans/Oklahoma City Hornets,100,Indiana Pacers,91,0
46505,2007,Box Score,Seattle SuperSonics,112,Los Angeles Lakers,118,0
46506,2007,Box Score,Charlotte Bobcats,83,Memphis Grizzlies,96,0
46507,2007,Box Score,New Jersey Nets,85,Miami Heat,91,0
46508,2007,Box Score,Philadelphia 76ers,105,Orlando Magic,103,0
46509,2007,Box Score,Utah Jazz,108,Phoenix Suns,104,0
46510,2007,Box Score,Cleveland Cavaliers,88,San Antonio Spurs,81,0
46511,2007,Box Score,Milwaukee Bucks,92,Toronto Raptors,109,0
46512,2007,Box Score,Cleveland Cavaliers,88,Charlotte Bobcats,92,0
46513,2007,Box Score,Memphis Grizzlies,86,Detroit Pistons,95,0
46514,2007,Box Score,Dallas Mavericks,76,Houston Rockets,107,0
46515,2007,Box Score,Phoenix Suns,108,Los Angeles Clippers,114,0
46516,2007,Box Score,Sacramento Kings,91,Milwaukee Bucks,104,0
46517,2007,Box Score,Indiana Pacers,109,New York Knicks,95,0
46518,2007,Box Score,Minnesota Timberwolves,86,Portland Trail Blazers,88,0
46519,2007,Box Score,Golden State Warriors,82,Utah Jazz,106,0
46520,2007,Box Score,Boston Celtics,117,Washington Wizards,124,0
46521,2007,Box Score,Orlando Magic,82,Atlanta Hawks,95,0
46522,2007,Box Score,Houston Rockets,90,New Orleans/Oklahoma City Hornets,96,0
46523,2007,Box Score,Miami Heat,98,Philadelphia 76ers,107,0
46524,2007,Box Score,Los Angeles Lakers,101,Seattle SuperSonics,117,0
46525,2007,Box Score,San Antonio Spurs,103,Toronto Raptors,94,0
46526,2007,Box Score,Milwaukee Bucks,85,Chicago Bulls,110,0
46527,2007,Box Score,Golden State Warriors,107,Dallas Mavericks,104,0
46528,2007,Box Score,Portland Trail Blazers,89,Los Angeles Clippers,102,0
46529,2007,Box Score,San Antonio Spurs,105,New York Knicks,93,0
46530,2007,Box Score,Washington Wizards,103,Orlando Magic,106,0
46531,2007,Box Score,Minnesota Timberwolves,81,Sacramento Kings,93,0
46532,2007,Box Score,Detroit Pistons,101,Utah Jazz,103,0
46533,2007,Box Score,Atlanta Hawks,104,Cleveland Cavaliers,95,0
46534,2007,Box Score,Philadelphia 76ers,86,Indiana Pacers,97,0
46535,2007,Box Score,Minnesota Timberwolves,88,Los Angeles Lakers,95,0
46536,2007,Box Score,Houston Rockets,86,Memphis Grizzlies,80,0
46537,2007,Box Score,Seattle SuperSonics,87,Miami Heat,90,0
46538,2007,Box Score,Golden State Warriors,93,New Orleans/Oklahoma City Hornets,97,0
46539,2007,Box Score,Charlotte Bobcats,108,Boston Celtics,110,0
46540,2007,Box Score,New York Knicks,109,Denver Nuggets,107,0
46541,2007,Box Score,Dallas Mavericks,85,Los Angeles Clippers,103,0
46542,2007,Box Score,Houston Rockets,97,Milwaukee Bucks,93,0
46543,2007,Box Score,Utah Jazz,89,New Jersey Nets,96,0
46544,2007,Box Score,Seattle SuperSonics,87,Orlando Magic,88,0
46545,2007,Box Score,Los Angeles Lakers,90,Portland Trail Blazers,101,0
46546,2007,Box Score,Detroit Pistons,86,Sacramento Kings,99,0
46547,2007,Box Score,Phoenix Suns,106,San Antonio Spurs,111,0
46548,2007,Box Score,Philadelphia 76ers,104,Toronto Raptors,106,0
46549,2007,Box Score,Indiana Pacers,91,Washington Wizards,117,0
46550,2007,Box Score,Chicago Bulls,94,Cleveland Cavaliers,113,0
46551,2007,Box Score,New Orleans/Oklahoma City Hornets,116,Golden State Warriors,121,0
46552,2007,Box Score,Dallas Mavericks,119,Phoenix Suns,112,0
46553,2007,Box Score,Utah Jazz,107,Boston Celtics,100,0
