,season,Home,G.1,Visitor,G,playoffs
39233,2007,Carolina Hurricanes,2.0,Buffalo Sabres,3.0,0
39234,2007,Colorado Avalanche,2.0,Dallas Stars,3.0,0
39235,2007,Toronto Maple Leafs,1.0,Ottawa Senators,4.0,0
39236,2007,Atlanta Thrashers,2.0,Tampa Bay Lightning,3.0,0
39237,2007,Detroit Red Wings,1.0,Vancouver Canucks,3.0,0
39238,2007,Edmonton Oilers,3.0,Calgary Flames,1.0,0
39239,2007,Minnesota Wild,3.0,Colorado Avalanche,2.0,0
39240,2007,Nashville Predators,6.0,Chicago Blackhawks,8.0,0
39241,2007,New York Rangers,5.0,Washington Capitals,2.0,0
39242,2007,Ottawa Senators,0.0,Toronto Maple Leafs,6.0,0
39243,2007,Phoenix Coyotes,6.0,New York Islanders,3.0,0
39244,2007,Pittsburgh Penguins,4.0,Philadelphia Flyers,0.0,0
39245,2007,San Jose Sharks,5.0,St. Louis Blues,4.0,0
39246,2007,Anaheim Ducks,4.0,Los Angeles Kings,3.0,0
39247,2007,Buffalo Sabres,5.0,Montreal Canadiens,4.0,0
39248,2007,Carolina Hurricanes,0.0,New Jersey Devils,4.0,0
39249,2007,Columbus Blue Jackets,2.0,Vancouver Canucks,3.0,0
39250,2007,Florida Panthers,8.0,Boston Bruins,3.0,0
39251,2007,Atlanta Thrashers,6.0,Florida Panthers,0.0,0
39252,2007,Calgary Flames,2.0,Edmonton Oilers,1.0,0
39253,2007,Chicago Blackhawks,4.0,Columbus Blue Jackets,5.0,0
39254,2007,Dallas Stars,3.0,New Jersey Devils,1.0,0
39255,2007,Los Angeles Kings,4.0,St. Louis Blues,1.0,0
39256,2007,Minnesota Wild,6.0,Nashville Predators,5.0,0
39257,2007,Ottawa Senators,3.0,Buffalo Sabres,4.0,0
39258,2007,Philadelphia Flyers,4.0,New York Rangers,5.0,0
39259,2007,Phoenix Coyotes,1.0,Anaheim Ducks,2.0,0
39260,2007,Pittsburgh Penguins,0.0,Detroit Red Wings,2.0,0
39261,2007,San Jose Sharks,2.0,New York Islanders,0.0,0
39262,2007,Tampa Bay Lightning,2.0,Boston Bruins,3.0,0
39263,2007,Toronto Maple Leafs,2.0,Montreal Canadiens,3.0,0
39264,2007,Washington Capitals,5.0,Carolina Hurricanes,2.0,0
39265,2007,Colorado Avalanche,3.0,Vancouver Canucks,2.0,0
39266,2007,Anaheim Ducks,2.0,St. Louis Blues,0.0,0
39267,2007,Columbus Blue Jackets,5.0,Phoenix Coyotes,1.0,0
39268,2007,Calgary Flames,1.0,San Jose Sharks,4.0,0
39269,2007,Tampa Bay Lightning,0.0,Atlanta Thrashers,1.0,0
39270,2007,Toronto Maple Leafs,2.0,Florida Panthers,1.0,0
39271,2007,Los Angeles Kings,4.0,New York Islanders,2.0,0
39272,2007,Minnesota Wild,2.0,Vancouver Canucks,1.0,0
39273,2007,New York Rangers,2.0,Philadelphia Flyers,4.0,0
39274,2007,Anaheim Ducks,4.0,New York Islanders,5.0,0
39275,2007,Atlanta Thrashers,4.0,Boston Bruins,1.0,0
39276,2007,Detroit Red Wings,9.0,Phoenix Coyotes,2.0,0
39277,2007,Florida Panthers,6.0,Carolina Hurricanes,3.0,0
39278,2007,Philadelphia Flyers,1.0,Montreal Canadiens,3.0,0
39279,2007,Chicago Blackhawks,3.0,Nashville Predators,1.0,0
39280,2007,Edmonton Oilers,6.0,San Jose Sharks,4.0,0
39281,2007,Los Angeles Kings,1.0,Dallas Stars,4.0,0
39282,2007,Minnesota Wild,3.0,Washington Capitals,2.0,0
39283,2007,New Jersey Devils,7.0,Toronto Maple Leafs,6.0,0
39284,2007,New York Rangers,5.0,Pittsburgh Penguins,6.0,0
39285,2007,Ottawa Senators,0.0,Calgary Flames,1.0,0
39286,2007,St. Louis Blues,3.0,Boston Bruins,2.0,0
39287,2007,Atlanta Thrashers,3.0,Carolina Hurricanes,4.0,0
39288,2007,Detroit Red Wings,2.0,Buffalo Sabres,3.0,0
39289,2007,Florida Panthers,3.0,Tampa Bay Lightning,2.0,0
39290,2007,Vancouver Canucks,4.0,San Jose Sharks,6.0,0
39291,2007,Buffalo Sabres,7.0,New York Rangers,4.0,0
39292,2007,Colorado Avalanche,3.0,Edmonton Oilers,4.0,0
39293,2007,Los Angeles Kings,1.0,Dallas Stars,4.0,0
39294,2007,Minnesota Wild,5.0,Columbus Blue Jackets,0.0,0
39295,2007,Montreal Canadiens,2.0,Ottawa Senators,3.0,0
39296,2007,New Jersey Devils,3.0,Philadelphia Flyers,2.0,0
39297,2007,Nashville Predators,4.0,Phoenix Coyotes,1.0,0
39298,2007,New York Islanders,4.0,Boston Bruins,1.0,0
39299,2007,Pittsburgh Penguins,1.0,Carolina Hurricanes,5.0,0
39300,2007,St. Louis Blues,4.0,Chicago Blackhawks,3.0,0
39301,2007,Tampa Bay Lightning,4.0,Florida Panthers,1.0,0
39302,2007,Toronto Maple Leafs,5.0,Calgary Flames,4.0,0
39303,2007,Washington Capitals,3.0,Atlanta Thrashers,4.0,0
39304,2007,Anaheim Ducks,3.0,Dallas Stars,4.0,0
39305,2007,Colorado Avalanche,3.0,Chicago Blackhawks,5.0,0
39306,2007,Los Angeles Kings,1.0,Detroit Red Wings,3.0,0
39307,2007,New York Islanders,1.0,Nashville Predators,2.0,0
39308,2007,New York Rangers,4.0,New Jersey Devils,2.0,0
39309,2007,Tampa Bay Lightning,1.0,Carolina Hurricanes,5.0,0
39310,2007,Vancouver Canucks,2.0,Edmonton Oilers,1.0,0
39311,2007,Buffalo Sabres,9.0,Philadelphia Flyers,1.0,0
39312,2007,Edmonton Oilers,2.0,Vancouver Canucks,1.0,0
39313,2007,Montreal Canadiens,5.0,Calgary Flames,4.0,0
39314,2007,San Jose Sharks,2.0,Dallas Stars,0.0,0
39315,2007,St. Louis Blues,2.0,Phoenix Coyotes,5.0,0
39316,2007,Anaheim Ducks,4.0,Detroit Red Wings,1.0,0
39317,2007,Chicago Blackhawks,2.0,Montreal Canadiens,1.0,0
39318,2007,Los Angeles Kings,1.0,Minnesota Wild,2.0,0
39319,2007,New York Rangers,0.0,Nashville Predators,3.0,0
39320,2007,Pittsburgh Penguins,1.0,New Jersey Devils,2.0,0
39321,2007,Toronto Maple Leafs,1.0,Colorado Avalanche,4.0,0
39322,2007,Washington Capitals,5.0,Florida Panthers,2.0,0
39323,2007,Atlanta Thrashers,4.0,Washington Capitals,3.0,0
39324,2007,Boston Bruins,3.0,Calgary Flames,2.0,0
39325,2007,New Jersey Devils,3.0,Nashville Predators,4.0,0
39326,2007,New York Islanders,3.0,Pittsburgh Penguins,4.0,0
39327,2007,Ottawa Senators,1.0,Colorado Avalanche,2.0,0
39328,2007,Phoenix Coyotes,0.0,Los Angeles Kings,4.0,0
39329,2007,San Jose Sharks,5.0,Detroit Red Wings,1.0,0
39330,2007,Tampa Bay Lightning,4.0,Philadelphia Flyers,1.0,0
39331,2007,Anaheim Ducks,2.0,Minnesota Wild,1.0,0
39332,2007,Buffalo Sabres,5.0,Carolina Hurricanes,4.0,0
39333,2007,Columbus Blue Jackets,2.0,Toronto Maple Leafs,4.0,0
39334,2007,Dallas Stars,5.0,Chicago Blackhawks,4.0,0
39335,2007,Florida Panthers,3.0,Philadelphia Flyers,2.0,0
39336,2007,St. Louis Blues,2.0,Vancouver Canucks,3.0,0
39337,2007,Atlanta Thrashers,4.0,Florida Panthers,2.0,0
39338,2007,Boston Bruins,2.0,Buffalo Sabres,6.0,0
39339,2007,Chicago Blackhawks,3.0,St. Louis Blues,4.0,0
39340,2007,Edmonton Oilers,3.0,Detroit Red Wings,1.0,0
39341,2007,Montreal Canadiens,8.0,Colorado Avalanche,5.0,0
39342,2007,Nashville Predators,3.0,Vancouver Canucks,4.0,0
39343,2007,New York Islanders,4.0,Carolina Hurricanes,3.0,0
39344,2007,Ottawa Senators,8.0,New Jersey Devils,1.0,0
39345,2007,Phoenix Coyotes,0.0,Dallas Stars,4.0,0
39346,2007,Pittsburgh Penguins,5.0,Columbus Blue Jackets,3.0,0
39347,2007,San Jose Sharks,1.0,Minnesota Wild,4.0,0
39348,2007,Toronto Maple Leafs,4.0,New York Rangers,5.0,0
39349,2007,Washington Capitals,4.0,Tampa Bay Lightning,6.0,0
39350,2007,Los Angeles Kings,2.0,Anaheim Ducks,3.0,0
39351,2007,Columbus Blue Jackets,0.0,San Jose Sharks,3.0,0
39352,2007,Colorado Avalanche,6.0,Los Angeles Kings,1.0,0
39353,2007,Dallas Stars,2.0,Vancouver Canucks,1.0,0
39354,2007,Edmonton Oilers,5.0,Phoenix Coyotes,2.0,0
39355,2007,Florida Panthers,3.0,Atlanta Thrashers,6.0,0
39356,2007,Montreal Canadiens,1.0,Buffalo Sabres,4.0,0
39357,2007,Calgary Flames,6.0,Phoenix Coyotes,1.0,0
39358,2007,Pittsburgh Penguins,4.0,New Jersey Devils,2.0,0
39359,2007,Toronto Maple Leafs,2.0,Ottawa Senators,6.0,0
39360,2007,Anaheim Ducks,6.0,Edmonton Oilers,2.0,0
39361,2007,Carolina Hurricanes,5.0,Atlanta Thrashers,4.0,0
39362,2007,Chicago Blackhawks,0.0,Vancouver Canucks,5.0,0
39363,2007,Colorado Avalanche,3.0,Washington Capitals,5.0,0
39364,2007,Detroit Red Wings,2.0,San Jose Sharks,1.0,0
39365,2007,Minnesota Wild,3.0,Los Angeles Kings,1.0,0
39366,2007,New York Rangers,2.0,Florida Panthers,4.0,0
39367,2007,Boston Bruins,2.0,Montreal Canadiens,3.0,0
39368,2007,New Jersey Devils,2.0,Florida Panthers,0.0,0
39369,2007,Nashville Predators,4.0,San Jose Sharks,3.0,0
39370,2007,New York Islanders,0.0,Buffalo Sabres,3.0,0
39371,2007,Ottawa Senators,7.0,Toronto Maple Leafs,2.0,0
39372,2007,Philadelphia Flyers,3.0,Atlanta Thrashers,2.0,0
39373,2007,Phoenix Coyotes,6.0,Edmonton Oilers,2.0,0
39374,2007,Tampa Bay Lightning,5.0,Carolina Hurricanes,1.0,0
39375,2007,Columbus Blue Jackets,2.0,Los Angeles Kings,0.0,0
39376,2007,Dallas Stars,3.0,Detroit Red Wings,4.0,0
39377,2007,Minnesota Wild,3.0,Anaheim Ducks,2.0,0
39378,2007,Vancouver Canucks,3.0,Washington Capitals,2.0,0
39379,2007,Boston Bruins,2.0,Ottawa Senators,1.0,0
39380,2007,Buffalo Sabres,4.0,Atlanta Thrashers,5.0,0
39381,2007,Carolina Hurricanes,6.0,Tampa Bay Lightning,4.0,0
39382,2007,Calgary Flames,2.0,Nashville Predators,3.0,0
39383,2007,Chicago Blackhawks,0.0,Anaheim Ducks,3.0,0
39384,2007,Dallas Stars,3.0,Los Angeles Kings,2.0,0
39385,2007,Edmonton Oilers,4.0,Washington Capitals,0.0,0
39386,2007,Montreal Canadiens,4.0,Toronto Maple Leafs,5.0,0
39387,2007,New Jersey Devils,1.0,Columbus Blue Jackets,0.0,0
39388,2007,New York Islanders,4.0,Florida Panthers,3.0,0
39389,2007,Philadelphia Flyers,2.0,Pittsburgh Penguins,8.0,0
39390,2007,Phoenix Coyotes,3.0,New York Rangers,7.0,0
39391,2007,St. Louis Blues,2.0,Detroit Red Wings,3.0,0
39392,2007,Colorado Avalanche,4.0,Minnesota Wild,1.0,0
39393,2007,Tampa Bay Lightning,2.0,San Jose Sharks,4.0,0
39394,2007,Calgary Flames,2.0,Washington Capitals,4.0,0
39395,2007,Los Angeles Kings,4.0,New York Rangers,1.0,0
39396,2007,Philadelphia Flyers,3.0,Chicago Blackhawks,0.0,0
39397,2007,St. Louis Blues,5.0,Anaheim Ducks,6.0,0
39398,2007,Toronto Maple Leafs,4.0,Atlanta Thrashers,2.0,0
39399,2007,Florida Panthers,1.0,San Jose Sharks,2.0,0
39400,2007,Montreal Canadiens,4.0,Ottawa Senators,2.0,0
39401,2007,New York Islanders,5.0,Chicago Blackhawks,2.0,0
39402,2007,Vancouver Canucks,2.0,Nashville Predators,3.0,0
39403,2007,Anaheim Ducks,3.0,New York Rangers,4.0,0
39404,2007,Atlanta Thrashers,2.0,Carolina Hurricanes,5.0,0
39405,2007,Columbus Blue Jackets,3.0,Colorado Avalanche,5.0,0
39406,2007,Dallas Stars,4.0,St. Louis Blues,1.0,0
39407,2007,Detroit Red Wings,3.0,Calgary Flames,2.0,0
39408,2007,Edmonton Oilers,3.0,Nashville Predators,5.0,0
39409,2007,Los Angeles Kings,3.0,Pittsburgh Penguins,4.0,0
39410,2007,Tampa Bay Lightning,2.0,Toronto Maple Leafs,4.0,0
39411,2007,Boston Bruins,4.0,Buffalo Sabres,5.0,0
39412,2007,Carolina Hurricanes,0.0,Montreal Canadiens,4.0,0
39413,2007,Chicago Blackhawks,1.0,Detroit Red Wings,2.0,0
39414,2007,Florida Panthers,4.0,Toronto Maple Leafs,2.0,0
39415,2007,Minnesota Wild,5.0,Vancouver Canucks,2.0,0
39416,2007,New Jersey Devils,2.0,New York Islanders,5.0,0
39417,2007,Philadelphia Flyers,2.0,Tampa Bay Lightning,5.0,0
39418,2007,San Jose Sharks,1.0,New York Rangers,3.0,0
39419,2007,St. Louis Blues,4.0,Colorado Avalanche,1.0,0
39420,2007,Anaheim Ducks,6.0,Phoenix Coyotes,2.0,0
39421,2007,Columbus Blue Jackets,5.0,Calgary Flames,4.0,0
39422,2007,Edmonton Oilers,2.0,Dallas Stars,3.0,0
39423,2007,Washington Capitals,3.0,Atlanta Thrashers,4.0,0
39424,2007,Boston Bruins,6.0,Tampa Bay Lightning,5.0,0
39425,2007,Buffalo Sabres,1.0,Toronto Maple Leafs,4.0,0
39426,2007,Colorado Avalanche,3.0,Vancouver Canucks,2.0,0
39427,2007,Detroit Red Wings,4.0,Columbus Blue Jackets,1.0,0
39428,2007,Minnesota Wild,3.0,Nashville Predators,4.0,0
39429,2007,Montreal Canadiens,1.0,New Jersey Devils,2.0,0
39430,2007,New York Islanders,1.0,Atlanta Thrashers,4.0,0
39431,2007,Ottawa Senators,2.0,Carolina Hurricanes,3.0,0
39432,2007,Philadelphia Flyers,3.0,Washington Capitals,5.0,0
39433,2007,Phoenix Coyotes,6.0,Los Angeles Kings,4.0,0
39434,2007,San Jose Sharks,3.0,Pittsburgh Penguins,2.0,0
39435,2007,St. Louis Blues,2.0,Calgary Flames,3.0,0
39436,2007,New York Rangers,3.0,Buffalo Sabres,4.0,0
39437,2007,Anaheim Ducks,3.0,Pittsburgh Penguins,2.0,0
39438,2007,Atlanta Thrashers,5.0,Boston Bruins,3.0,0
39439,2007,New York Islanders,1.0,Tampa Bay Lightning,5.0,0
39440,2007,Toronto Maple Leafs,4.0,Philadelphia Flyers,1.0,0
39441,2007,Vancouver Canucks,2.0,Dallas Stars,1.0,0
39442,2007,Washington Capitals,4.0,Ottawa Senators,3.0,0
39443,2007,Calgary Flames,3.0,Dallas Stars,1.0,0
39444,2007,Colorado Avalanche,5.0,Los Angeles Kings,6.0,0
39445,2007,Montreal Canadiens,3.0,Edmonton Oilers,2.0,0
39446,2007,New Jersey Devils,3.0,Carolina Hurricanes,2.0,0
39447,2007,San Jose Sharks,3.0,Minnesota Wild,1.0,0
39448,2007,Atlanta Thrashers,5.0,Ottawa Senators,4.0,0
39449,2007,Detroit Red Wings,3.0,Edmonton Oilers,0.0,0
39450,2007,Florida Panthers,3.0,New York Rangers,4.0,0
39451,2007,Pittsburgh Penguins,3.0,Tampa Bay Lightning,4.0,0
39452,2007,Boston Bruins,4.0,Toronto Maple Leafs,6.0,0
39453,2007,Carolina Hurricanes,5.0,Washington Capitals,0.0,0
39454,2007,Los Angeles Kings,3.0,San Jose Sharks,7.0,0
39455,2007,New Jersey Devils,2.0,Chicago Blackhawks,1.0,0
39456,2007,Philadelphia Flyers,1.0,New York Islanders,3.0,0
39457,2007,Phoenix Coyotes,0.0,Dallas Stars,1.0,0
39458,2007,St. Louis Blues,2.0,Columbus Blue Jackets,4.0,0
39459,2007,Vancouver Canucks,0.0,Anaheim Ducks,6.0,0
39460,2007,Atlanta Thrashers,2.0,New York Rangers,5.0,0
39461,2007,Buffalo Sabres,5.0,Florida Panthers,4.0,0
39462,2007,Columbus Blue Jackets,1.0,Edmonton Oilers,4.0,0
39463,2007,Calgary Flames,3.0,Anaheim Ducks,0.0,0
39464,2007,Chicago Blackhawks,3.0,St. Louis Blues,1.0,0
39465,2007,Detroit Red Wings,3.0,Nashville Predators,0.0,0
39466,2007,Pittsburgh Penguins,3.0,Ottawa Senators,6.0,0
39467,2007,Boston Bruins,4.0,Ottawa Senators,3.0,0
39468,2007,Carolina Hurricanes,6.0,Pittsburgh Penguins,2.0,0
39469,2007,Los Angeles Kings,2.0,Minnesota Wild,3.0,0
39470,2007,New Jersey Devils,4.0,Florida Panthers,2.0,0
39471,2007,Nashville Predators,1.0,Colorado Avalanche,0.0,0
39472,2007,Philadelphia Flyers,4.0,Buffalo Sabres,5.0,0
39473,2007,Phoenix Coyotes,1.0,San Jose Sharks,2.0,0
39474,2007,Tampa Bay Lightning,5.0,Atlanta Thrashers,3.0,0
39475,2007,Toronto Maple Leafs,5.0,Montreal Canadiens,1.0,0
39476,2007,Vancouver Canucks,2.0,Calgary Flames,3.0,0
39477,2007,Washington Capitals,3.0,New York Rangers,1.0,0
39478,2007,Anaheim Ducks,3.0,Minnesota Wild,2.0,0
39479,2007,Chicago Blackhawks,1.0,Columbus Blue Jackets,0.0,0
39480,2007,St. Louis Blues,5.0,Edmonton Oilers,3.0,0
39481,2007,Carolina Hurricanes,4.0,Buffalo Sabres,7.0,0
39482,2007,Colorado Avalanche,1.0,Edmonton Oilers,2.0,0
39483,2007,Florida Panthers,1.0,Washington Capitals,4.0,0
39484,2007,Los Angeles Kings,4.0,San Jose Sharks,2.0,0
39485,2007,Ottawa Senators,3.0,Montreal Canadiens,6.0,0
39486,2007,Pittsburgh Penguins,3.0,Philadelphia Flyers,2.0,0
39487,2007,Calgary Flames,3.0,St. Louis Blues,0.0,0
39488,2007,New York Rangers,3.0,New Jersey Devils,2.0,0
39489,2007,Phoenix Coyotes,4.0,Minnesota Wild,3.0,0
39490,2007,Vancouver Canucks,2.0,Detroit Red Wings,3.0,0
39491,2007,Anaheim Ducks,4.0,Philadelphia Flyers,7.0,0
39492,2007,Buffalo Sabres,2.0,Ottawa Senators,4.0,0
39493,2007,Carolina Hurricanes,2.0,New York Rangers,1.0,0
39494,2007,Columbus Blue Jackets,4.0,Nashville Predators,5.0,0
39495,2007,Colorado Avalanche,3.0,San Jose Sharks,4.0,0
39496,2007,Dallas Stars,0.0,New York Islanders,3.0,0
39497,2007,Tampa Bay Lightning,1.0,Montreal Canadiens,3.0,0
39498,2007,Washington Capitals,2.0,Boston Bruins,3.0,0
39499,2007,Boston Bruins,2.0,Toronto Maple Leafs,1.0,0
39500,2007,Edmonton Oilers,6.0,St. Louis Blues,2.0,0
39501,2007,Florida Panthers,5.0,Montreal Canadiens,1.0,0
39502,2007,Los Angeles Kings,3.0,Philadelphia Flyers,4.0,0
39503,2007,Nashville Predators,6.0,Minnesota Wild,7.0,0
39504,2007,Phoenix Coyotes,3.0,Chicago Blackhawks,2.0,0
39505,2007,Anaheim Ducks,3.0,Chicago Blackhawks,4.0,0
39506,2007,Atlanta Thrashers,3.0,Dallas Stars,5.0,0
39507,2007,Buffalo Sabres,4.0,Pittsburgh Penguins,2.0,0
39508,2007,Columbus Blue Jackets,0.0,Colorado Avalanche,3.0,0
39509,2007,Calgary Flames,4.0,Detroit Red Wings,1.0,0
39510,2007,New Jersey Devils,3.0,Ottawa Senators,2.0,0
39511,2007,Tampa Bay Lightning,3.0,New York Islanders,2.0,0
39512,2007,Vancouver Canucks,4.0,St. Louis Blues,2.0,0
39513,2007,Washington Capitals,1.0,Carolina Hurricanes,4.0,0
39514,2007,Boston Bruins,3.0,Washington Capitals,2.0,0
39515,2007,Carolina Hurricanes,5.0,Dallas Stars,4.0,0
39516,2007,Edmonton Oilers,4.0,Detroit Red Wings,3.0,0
39517,2007,Florida Panthers,1.0,New York Islanders,4.0,0
39518,2007,Los Angeles Kings,5.0,Phoenix Coyotes,3.0,0
39519,2007,Minnesota Wild,1.0,Colorado Avalanche,2.0,0
39520,2007,Montreal Canadiens,3.0,Atlanta Thrashers,1.0,0
39521,2007,Nashville Predators,4.0,Columbus Blue Jackets,2.0,0
39522,2007,Ottawa Senators,4.0,Buffalo Sabres,1.0,0
39523,2007,Pittsburgh Penguins,3.0,New York Rangers,1.0,0
39524,2007,San Jose Sharks,6.0,Philadelphia Flyers,1.0,0
39525,2007,Toronto Maple Leafs,1.0,New Jersey Devils,2.0,0
39526,2007,Anaheim Ducks,6.0,Phoenix Coyotes,4.0,0
39527,2007,New York Rangers,4.0,Tampa Bay Lightning,1.0,0
39528,2007,Vancouver Canucks,2.0,Chicago Blackhawks,1.0,0
39529,2007,Boston Bruins,2.0,Florida Panthers,3.0,0
39530,2007,Buffalo Sabres,7.0,Tampa Bay Lightning,2.0,0
39531,2007,Columbus Blue Jackets,1.0,Nashville Predators,3.0,0
39532,2007,Dallas Stars,5.0,Colorado Avalanche,4.0,0
39533,2007,Ottawa Senators,5.0,Minnesota Wild,3.0,0
39534,2007,Philadelphia Flyers,3.0,Pittsburgh Penguins,5.0,0
39535,2007,Toronto Maple Leafs,4.0,New York Islanders,2.0,0
39536,2007,Anaheim Ducks,5.0,San Jose Sharks,0.0,0
39537,2007,Edmonton Oilers,2.0,Calgary Flames,1.0,0
39538,2007,New York Rangers,4.0,Carolina Hurricanes,0.0,0
39539,2007,Buffalo Sabres,7.0,Toronto Maple Leafs,4.0,0
