Winners,W/L Percentage,Home W/L
Atlanta Hawks,64.63,25.0
Boston Celtics,60.98,35.0
Charlotte Bobcats,53.66,21.0
Chicago Bulls,50.0,20.0
Cleveland Cavaliers,74.39,27.0
Dallas Mavericks,67.07,34.0
Denver Nuggets,64.63,33.0
Detroit Pistons,32.93,34.0
Golden State Warriors,31.71,27.0
Houston Rockets,51.22,31.0
Indiana Pacers,39.02,21.0
Los Angeles Clippers,35.37,13.0
Los Angeles Lakers,69.51,30.0
Memphis Grizzlies,48.78,14.0
Miami Heat,57.32,9.0
Milwaukee Bucks,56.1,19.0
Minnesota Timberwolves,18.29,15.0
New Jersey Nets,14.63,21.0
New Orleans Hornets,45.12,30.0
New York Knicks,35.37,15.0
Oklahoma City Thunder,60.98,
Orlando Magic,71.95,25.0
Philadelphia 76ers,32.93,22.0
Phoenix Suns,65.85,30.0
Portland Trail Blazers,60.98,28.0
Sacramento Kings,30.49,26.0
San Antonio Spurs,60.98,34.0
Toronto Raptors,48.78,25.0
Utah Jazz,64.63,37.0
Washington Wizards,31.71,25.0
