Winners,Win/Loss Percentage,Home W/L
Atlanta Hawks,46.34,58.54
Boston Celtics,30.49,39.02
Brooklyn Nets,53.66,68.29
Charlotte Bobcats,52.44,60.98
Chicago Bulls,58.54,65.85
Cleveland Cavaliers,40.24,46.34
Dallas Mavericks,59.76,63.41
Denver Nuggets,43.9,53.66
Detroit Pistons,35.37,41.46
Golden State Warriors,62.2,65.85
Houston Rockets,65.85,80.49
Indiana Pacers,68.29,85.37
Los Angeles Clippers,69.51,82.93
Los Angeles Lakers,32.93,34.15
Memphis Grizzlies,60.98,65.85
Miami Heat,65.85,78.05
Milwaukee Bucks,18.29,24.39
Minnesota Timberwolves,48.78,58.54
New Orleans Pelicans,41.46,53.66
New York Knicks,45.12,46.34
Oklahoma City Thunder,71.95,82.93
Orlando Magic,28.05,46.34
Philadelphia 76ers,23.17,24.39
Phoenix Suns,58.54,63.41
Portland Trail Blazers,65.85,75.61
Sacramento Kings,34.15,41.46
San Antonio Spurs,75.61,78.05
Toronto Raptors,58.54,63.41
Utah Jazz,30.49,39.02
Washington Wizards,53.66,53.66
