Winners,W/L Percentage,Home W/L
Anaheim Ducks,57.32,63.41
Atlanta Thrashers,41.46,41.46
Boston Bruins,56.1,53.66
Buffalo Sabres,52.44,51.22
Calgary Flames,50.0,56.1
Carolina Hurricanes,48.78,53.66
Chicago Blackhawks,53.66,58.54
Colorado Avalanche,36.59,39.02
Columbus Blue Jackets,41.46,41.46
Dallas Stars,51.22,53.66
Detroit Red Wings,57.32,51.22
Edmonton Oilers,30.49,31.71
Florida Panthers,36.59,39.02
Los Angeles Kings,56.1,60.98
Minnesota Wild,47.56,46.34
Montreal Canadiens,53.66,58.54
Nashville Predators,53.66,58.54
New Jersey Devils,46.34,53.66
New York Islanders,36.59,41.46
New York Rangers,53.66,48.78
Ottawa Senators,39.02,39.02
Philadelphia Flyers,57.32,53.66
Phoenix Coyotes,52.44,51.22
Pittsburgh Penguins,59.76,60.98
San Jose Sharks,58.54,60.98
St. Louis Blues,46.34,56.1
Tampa Bay Lightning,56.1,60.98
Toronto Maple Leafs,45.12,43.9
Vancouver Canucks,65.85,65.85
Washington Capitals,58.54,60.98
