league,team,altitude,win_pct_1,home_win_pct_1,similar_opp_home_1,win_pct_2,home_win_pct_2,similar_opp_home_2,win_pct_3,home_win_pct_3,similar_opp_home_3,win_pct_4,home_win_pct_4,similar_opp_home_4,win_pct_5,home_win_pct_5,similar_opp_home_5
MLB,Florida Marlins,10,,,,,,,,,,,,,,,
MLB,Tampa Bay Rays,15,,,,,,,,,,,,,,,
MLB,Seattle Mariners,16,,,,,,,,,,,,,,,
MLB,New York Mets,20,,,,,,,,,,,,,,,
MLB,Philadelphia Phillies,20,,,,,,,,,,,,,,,
MLB,Baltimore Orioles,20,,,,,,,,,,,,,,,
MLB,San Diego Padres,20,,,,,,,,,,,,,,,
MLB,Boston Red Sox,21,,,,,,,,,,,,,,,
MLB,Oakland Athletics,25,,,,,,,,,,,,,,,
MLB,Washington Nationals,35,,,,,,,,,,,,,,,
MLB,Houston Astros,40,,,,,,,,,,,,,,,
MLB,New York Yankees,55,,,,,,,,,,,,,,,
MLB,San Francisco Giants,65,,,,,,,,,,,,,,,
MLB,Los Angeles Angels,160,,,,,,,,,,,,,,,
MLB,Toronto Blue Jays,300,,,,,,,,,,,,,,,
MLB,Los Angeles Dodgers,340,,,,,,,,,,,,,,,
MLB,St. Louis Cardinals,455,,,,,,,,,,,,,,,
MLB,Cincinnati Reds,550,,,,,,,,,,,,,,,
MLB,Texas Rangers,551,,,,,,,,,,,,,,,
MLB,Detroit Tigers,585,,,,,,,,,,,,,,,
MLB,Chicago White Sox,595,,,,,,,,,,,,,,,
MLB,Chicago Cubs,595,,,,,,,,,,,,,,,
MLB,Milwaukee Brewers,635,,,,,,,,,,,,,,,
MLB,Cleveland Indians,660,,,,,,,,,,,,,,,
MLB,Pittsburgh Pirates,730,,,,,,,,,,,,,,,
MLB,Kansas City Royals,750,,,,,,,,,,,,,,,
MLB,Minnesota Twins,815,,,,,,,,,,,,,,,
MLB,Atlanta Braves,1050,,,,,,,,,,,,,,,
MLB,Arizona Diamondbacks,1080,,,,,,,,,,,,,,,
MLB,Colorado Rockies,5280,,,,,,,,,,,,,,,
